Geographic Area,Student Subgroup,Scenario (Percent of dropouts who graduate),Combined increased annual earnings ($),Increased Investment ($),Increased Spending ($),Increased state tax revenue ($),Increased Value of Home Sales ($),Increased Value of Vehicle Sales ($),New Jobs Created,Growth in GDP ($)
"Miami-Fort Lauderdale-Miami Beach, FL",Black,75%,92974507.85,23792225.09,69182282.76,8408251.46,213119645.6,6864433.53,759.1514622,124648228
"Miami-Fort Lauderdale-Miami Beach, FL","White, Non-Hispanic",75%,52504361.68,15358219.02,37146142.66,4994334.13,143102459.4,3033974.79,420.7315057,70157730.03
"Miami-Fort Lauderdale-Miami Beach, FL",All Students,75%,252116043,64478462.24,187637580.8,22562089.44,563506203.6,17329381.12,2058.725425,338009304.4
"Milwaukee-Waukesha-West Allis, WI",American Indian or Alaska Native,75%,959737.03,263186.77,696550.26,129216.53,2510133.9,60658.04,7.573304276,1287545.3
"Milwaukee-Waukesha-West Allis, WI",Asian/Pacific Islander,75%,2700310.3,819521.58,1880788.71,363751.06,7254286.55,139734.94,20.91412464,3611585.21
"Milwaukee-Waukesha-West Allis, WI",Hispanic,75%,9649101.11,2564446.08,7084655.04,1313848.23,25671523.33,602514.05,76.54823041,12956259.1
"Milwaukee-Waukesha-West Allis, WI",Black,75%,30641360.85,8141401.5,22499959.35,4191778.6,82347075.57,1993597.93,243.0947928,41143763.39
"Milwaukee-Waukesha-West Allis, WI","White, Non-Hispanic",75%,16552361.93,4984736.02,11567625.92,2288417.28,46868497.02,853333.43,128.3927337,22143713.26
"Milwaukee-Waukesha-West Allis, WI",All Students,75%,52412203.52,13873969.68,38538233.83,6862834.1,127694193.1,3214583.22,416.0738995,70383875.79
"Minneapolis-St. Paul-Bloomington, MN-WI",American Indian or Alaska Native,75%,3411888.66,965862.11,2446026.55,427866.21,10831683.99,183008.8,27.34004231,4671003.43
"Minneapolis-St. Paul-Bloomington, MN-WI",Asian/Pacific Islander,75%,13269109.86,3952584.05,9316525.81,1654944.85,42446934.27,653148.69,105.3228012,18132891.94
"Minneapolis-St. Paul-Bloomington, MN-WI",Hispanic,75%,13621455.66,3780328.64,9841127.02,1693582.74,41748139.01,731323.73,109.5387523,18661022.91
"Minneapolis-St. Paul-Bloomington, MN-WI",Black,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Minneapolis-St. Paul-Bloomington, MN-WI","White, Non-Hispanic",75%,68574464.47,21334445.88,47240018.6,8719052.26,236627536.5,3102120.33,539.6594049,93557707.2
"Minneapolis-St. Paul-Bloomington, MN-WI",All Students,75%,122105079,33783315.79,88321763.25,15194842.27,374707929.9,6568099.77,982.4577577,167298158.6
"Missoula, MT",American Indian or Alaska Native,75%,153451.58,38831.29,114620.29,7706.47,302527.81,25264.89,1.327471098,200085.2
"Missoula, MT",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Missoula, MT",Hispanic,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Missoula, MT",Black,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Missoula, MT","White, Non-Hispanic",75%,1174621.62,325051.48,849570.14,62606.4,2624535.75,149914.96,10.03647877,1528857.78
"Missoula, MT",All Students,75%,1103066.03,265301.2,837764.84,53810.12,2039170.14,165694.26,9.604458389,1439642.8
"Mobile, AL",American Indian or Alaska Native,75%,397391.17,94575.83,302815.34,23105.22,766316.83,34060.68,3.505240418,522340.89
"Mobile, AL",Asian/Pacific Islander,75%,704966.32,179454.4,525511.91,40507.94,1355798.23,51332.38,6.169594667,925468.31
"Mobile, AL",Hispanic,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Mobile, AL",Black,75%,15881975.44,3628246.85,12253728.59,920474.54,28160330.34,1383962.32,140.7203232,20890679.59
"Mobile, AL","White, Non-Hispanic",75%,13328038.42,3490694.81,9837343.62,768784.72,27512772.72,926615.44,116.2338363,17487127.69
"Mobile, AL",All Students,75%,28763306.11,6433131.17,22330174.94,1677420.38,52333277.3,2419742.82,255.4281453,37848059.36
"Modesto, CA",American Indian or Alaska Native,75%,305581.49,85768.04,219813.45,36960.76,1031161.25,23635.99,2.208138491,396778.36
"Modesto, CA",Asian/Pacific Islander,75%,1513456.23,444184.7,1069271.53,181304.21,5088940.06,107620.26,10.86759914,1963580.93
"Modesto, CA",Hispanic,75%,14701196.47,3963165.15,10738031.32,1786806.94,49034820.74,1121960.62,106.808259,19101579.76
"Modesto, CA",Black,75%,1431700.5,403167.48,1028533.03,172342.88,4745562.19,117422.63,10.34079208,1858867.1
"Modesto, CA","White, Non-Hispanic",75%,9730167.48,2960502.33,6769665.14,1194824.98,37249874.85,643276.32,69.49800972,12615710.56
"Modesto, CA",All Students,75%,32106046.17,8598042.53,23508003.63,3900328.51,106296363.2,2475657.53,233.4615603,41720630.22
"Monroe, LA",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Monroe, LA",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Monroe, LA",Hispanic,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Monroe, LA",Black,75%,2761894.04,690826.74,2071067.3,149879.94,4991642,803638.5,25.07145883,3579781.72
"Monroe, LA","White, Non-Hispanic",75%,1950180.83,559267.64,1390913.19,106947.52,5071620.53,485754.64,17.41250874,2521840.54
"Monroe, LA",All Students,75%,5578708.02,1375036.19,4203671.82,303219.44,9952209.25,1277095.75,50.72419457,7232413.79
"Montgomery, AL",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Montgomery, AL",Asian/Pacific Islander,75%,310320.82,84077.76,226243.06,17199.54,601356.37,22716.84,2.369517456,395071.25
"Montgomery, AL",Hispanic,75%,269532.99,69612.58,199920.41,15059.42,516811.42,20458.16,2.073603886,343375.78
"Montgomery, AL",Black,75%,14971481.21,3669223.29,11302257.92,843976.06,28564614.62,1233777,116.0786813,19086557.85
"Montgomery, AL","White, Non-Hispanic",75%,7269156.71,2029131.88,5240024.83,405054.72,15649162.81,476972.17,55.23383453,9250357.61
"Montgomery, AL",All Students,75%,20089593.22,4869305.13,15220288.08,1137361.65,39255869.09,1595526.89,156.0078954,25615123.11
"Morgantown, WV",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Morgantown, WV",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Morgantown, WV",Hispanic,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Morgantown, WV",Black,75%,211215.43,43734.16,167481.27,18131.38,351324.52,13168.12,1.478793225,260836.23
"Morgantown, WV","White, Non-Hispanic",75%,3957713.59,946437.82,3011275.77,339547.65,7793934.9,198158.79,27.29094396,4883202.32
"Morgantown, WV",All Students,75%,3573436.75,702267.02,2871169.74,309732.33,6061115.94,216986.93,25.14295198,4414217.39
"Morristown, TN ",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Morristown, TN ",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Morristown, TN ",Hispanic,75%,251423.38,62167.13,189256.25,20919.05,475572.07,17107.91,1.790403396,308331.16
"Morristown, TN ",Black,75%,242356.16,58688.44,183667.72,20306.28,462790.76,17962.83,1.727985981,297241.58
"Morristown, TN ","White, Non-Hispanic",75%,3572399.75,962488.92,2609910.83,295110.25,7702547.7,215066.32,25.30160762,4379068.74
"Morristown, TN ",All Students,75%,3334521.85,775581.37,2558940.48,283199.97,6507847.17,238401.04,23.83043442,4090449.81
"Muskegon-Norton Shores, MI",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Muskegon-Norton Shores, MI",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Muskegon-Norton Shores, MI",Hispanic,75%,697275.58,161710.13,535565.45,69305.71,1908048.3,51675.58,5.593104901,877408.76
"Muskegon-Norton Shores, MI",Black,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Muskegon-Norton Shores, MI","White, Non-Hispanic",75%,5337964.68,1435827.12,3902137.56,535884.72,15993229.63,341081.12,42.13638853,6707010.52
"Muskegon-Norton Shores, MI",All Students,75%,9902743.52,2283596.85,7619146.68,998904.29,28214325.76,742304.29,79.47839644,12461659.26
"Myrtle Beach-North Myrtle Beach-Conway, SC",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Myrtle Beach-North Myrtle Beach-Conway, SC",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Myrtle Beach-North Myrtle Beach-Conway, SC",Hispanic,75%,551100.78,135642.93,415457.85,42532.55,1208068.1,81481.8,4.515489938,700021.31
"Myrtle Beach-North Myrtle Beach-Conway, SC",Black,75%,2198154.99,521166.55,1676988.45,169830.52,4574731.32,380703.36,18.07529233,2793284.72
"Myrtle Beach-North Myrtle Beach-Conway, SC","White, Non-Hispanic",75%,5551928.06,1531695.96,4020232.1,429356.48,14775339.82,706255.8,44.95364729,7042745.57
"Myrtle Beach-North Myrtle Beach-Conway, SC",All Students,75%,7933043.36,1893526.57,6039516.79,612564.76,16609896.14,1157834.41,65.19180658,10080116.14
"Naples-Marco Island, FL",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Naples-Marco Island, FL",Asian/Pacific Islander,75%,156366.01,44487.91,111878.1,9843.4,368752.51,10531.36,0.805723458,191329.63
"Naples-Marco Island, FL",Hispanic,75%,9892525.3,2479354.97,7413170.33,624713.93,21192427.52,739837.25,51.41222351,12108960.4
"Naples-Marco Island, FL",Black,75%,2214336.47,560639.59,1653696.88,143950.11,5268350.77,170654.46,11.50067991,2710386.6
"Naples-Marco Island, FL","White, Non-Hispanic",75%,8271781.97,2412670.13,5859111.84,531876.57,21240266.56,507205.63,42.54544645,10120574.33
"Naples-Marco Island, FL",All Students,75%,20084058.03,5115985.22,14968072.82,1281764.84,45192046.21,1494067.03,104.2708253,24582826.93
"Nashville-Davidson--Murfreesboro, TN",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Nashville-Davidson--Murfreesboro, TN",Asian/Pacific Islander,75%,1163551.7,323560.16,839991.54,98276.47,2239527.72,60293.88,9.323357424,1591052.47
"Nashville-Davidson--Murfreesboro, TN",Hispanic,75%,5302955.61,1362761.83,3940193.78,457537.76,10101494.9,304848.11,43.00640088,7269801.7
"Nashville-Davidson--Murfreesboro, TN",Black,75%,15292926.92,3932357.53,11360569.39,1324209.95,29748194.97,915984.19,124.0131529,20964625.92
"Nashville-Davidson--Murfreesboro, TN","White, Non-Hispanic",75%,40185509.09,11566257.75,28619251.34,3436657.09,87193526.7,1969895.96,320.1994136,54885392.18
"Nashville-Davidson--Murfreesboro, TN",All Students,75%,54693785.02,13741429.44,40952355.58,4733588.7,102345886.1,3171595.66,445.0044718,75031360.98
"New Haven-Milford, CT",American Indian or Alaska Native,75%,152348.96,45645.85,106703.11,24177.31,647065.92,15439,1.011325952,200453.85
"New Haven-Milford, CT",Asian/Pacific Islander,75%,1007289.01,330781.41,676507.59,164172.27,4597715.28,80137.32,6.573944962,1322068.07
"New Haven-Milford, CT",Hispanic,75%,7038854.49,1995972.62,5042881.87,1128779.09,30157282.67,751156.27,47.16456808,9274177.91
"New Haven-Milford, CT",Black,75%,7102386.21,2043979.57,5058406.64,1121544.89,29605485.06,765031.08,47.47369005,9354494.3
"New Haven-Milford, CT","White, Non-Hispanic",75%,11284670.73,3607568.96,7677101.77,1750911.99,46539763.72,984718.35,74.02961124,14822245.17
"New Haven-Milford, CT",All Students,75%,23495556.1,6685497.34,16810058.77,3705874.9,97468818.32,2384493.04,157.3450626,30954422.83
"New Orleans-Metairie-Kenner, LA ",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"New Orleans-Metairie-Kenner, LA ",Asian/Pacific Islander,75%,617739.83,168947.87,448791.96,57811.59,1138718.53,36701.93,4.168722794,795049.78
"New Orleans-Metairie-Kenner, LA ",Hispanic,75%,2162155.72,559843.14,1602312.59,205121.99,3985182.65,141575.71,14.68929111,2785420.76
"New Orleans-Metairie-Kenner, LA ",Black,75%,12492648.82,3122622.48,9370026.35,1195130.29,23040312.32,869937.83,85.22265755,16103262.2
"New Orleans-Metairie-Kenner, LA ","White, Non-Hispanic",75%,16261861.05,4644794.88,11617066.16,1518212.08,32539033.57,911623.18,109.12481,20912834.76
"New Orleans-Metairie-Kenner, LA ",All Students,75%,29809535.98,7380487.29,22429048.69,2863056.6,55920073.91,1977685.32,203.5758498,38431026.05
"New York-Northern New Jersey-Long Island, NY-NJ-PA",American Indian or Alaska Native,75%,3820506.58,1093917.24,2726589.34,479232.18,8599481.11,403215.67,22.68281079,4969000.63
"New York-Northern New Jersey-Long Island, NY-NJ-PA",Asian/Pacific Islander,75%,62712295.16,19380647.41,43331647.75,7844585.05,146758992.4,5714728.46,367.4900105,81422139.41
"New York-Northern New Jersey-Long Island, NY-NJ-PA",Hispanic,75%,319963754,88663278.12,231300475.9,39920545.08,692904127.1,34201895.39,1909.692882,416443843.3
"New York-Northern New Jersey-Long Island, NY-NJ-PA",Black,75%,258862114.9,72157012.64,186705102.3,32365726.72,566788879.5,28406337.43,1543.564666,336875475.3
"New York-Northern New Jersey-Long Island, NY-NJ-PA","White, Non-Hispanic",75%,156952641.5,49043371.83,107909269.7,19452053.04,358998430.1,13761381.95,917.9019352,203724732
"New York-Northern New Jersey-Long Island, NY-NJ-PA",All Students,75%,682190368.7,187999333.5,494191035.2,85460503.45,1493194958,72230045.28,4075.159171,887997990.4
"Norwich-New London, CT",American Indian or Alaska Native,75%,431552.22,125505.49,306046.73,62455.76,1783117.11,34112.77,2.50918158,539170.13
"Norwich-New London, CT",Asian/Pacific Islander,75%,402007.24,123489.29,278517.94,57197.51,1624256.24,29649.32,2.319551085,501985.21
"Norwich-New London, CT",Hispanic,75%,1654259.74,469173.14,1185086.59,238387.03,6726377.67,135930.86,9.650751748,2067282.67
"Norwich-New London, CT",Black,75%,1823703.64,523663.83,1300039.82,264353.32,7536417.31,151576.02,10.62180678,2278765.75
"Norwich-New London, CT","White, Non-Hispanic",75%,6774970.81,2141502.72,4633468.08,1003572.16,30079989.33,461593.08,38.92727092,8457387.25
"Norwich-New London, CT",All Students,75%,8526476.07,2403739.94,6122736.13,1236764.48,35119219.82,692383.46,49.78177779,10655901.56
"Ocala, FL",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ocala, FL",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ocala, FL",Hispanic,75%,862419.31,208581.92,653837.39,57631.71,1836473.25,114693.47,6.981437995,1091844.25
"Ocala, FL",Black,75%,1861719.33,445168.23,1416551.11,124471.67,3939980.37,258429.25,15.08362988,2357195.09
"Ocala, FL","White, Non-Hispanic",75%,5298296.91,1423187.5,3875109.41,371157.03,13837371.63,591572.08,42.53828333,6701878.31
"Ocala, FL",All Students,75%,7064391.57,1636687.25,5427704.32,472610.16,14665459.44,915860.27,57.36619193,8946685.37
"Ogden-Clearfield, UT",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ogden-Clearfield, UT",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ogden-Clearfield, UT",Hispanic,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ogden-Clearfield, UT",Black,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ogden-Clearfield, UT","White, Non-Hispanic",75%,13629452.62,4004962.82,9624489.81,1296859.18,52193952.38,1113905.53,101.3264057,16939226.37
"Ogden-Clearfield, UT",All Students,75%,25898975.85,6673672.77,19225303.09,2475794.62,92392476.24,2480488.14,195.6951978,32218754.84
"Oklahoma City, OK",American Indian or Alaska Native,75%,3840177.48,997675.14,2842502.33,373960.78,5915016.83,290922.05,34.89439852,5139646.59
"Oklahoma City, OK",Asian/Pacific Islander,75%,804531.93,221523.6,583008.33,77222.21,1230520.73,52586.58,7.25381287,1075138.68
"Oklahoma City, OK",Hispanic,75%,4765605.48,1200168.9,3565436.58,466627.03,7268098.72,364056.82,43.47540815,6383193.02
"Oklahoma City, OK",Black,75%,6909417.85,1732484.3,5176933.56,678865.2,10731266.05,552060.51,63.0672346,9255671.14
"Oklahoma City, OK","White, Non-Hispanic",75%,17444276.23,4951251.31,12493024.92,1691259.27,30036458.88,1109444.71,156.6096949,23292331.32
"Oklahoma City, OK",All Students,75%,30364382.34,7517984.96,22846397.38,2975793.36,45374392.25,2229606.6,277.591227,40687833.77
"Olympia, WA",American Indian or Alaska Native,75%,558022.67,155785.3,402237.37,50466.05,1908996.93,55593.34,3.541789545,689307.59
"Olympia, WA",Asian/Pacific Islander,75%,641643.58,181622.07,460021.51,58164.56,2218458.92,59493.08,4.066392501,792539.69
"Olympia, WA",Hispanic,75%,1566210.06,433744.48,1132465.57,142552.81,5411503.28,154121.14,9.949417364,1934776.54
"Olympia, WA",Black,75%,449480.45,125150.32,324330.13,41262.44,1584064.08,49530.82,2.85368858,555237.14
"Olympia, WA","White, Non-Hispanic",75%,10930783.45,3346676.78,7584106.67,1057402.78,44304226.36,949435.8,68.65078141,13495090.5
"Olympia, WA",All Students,75%,12328832.5,3335811.95,8993020.56,1134080.84,43134576.58,1217795.58,78.51297008,15232057.77
"Omaha-Council Bluffs, NE-IA",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Omaha-Council Bluffs, NE-IA",Asian/Pacific Islander,75%,448051.11,130245.95,317805.16,46679.34,818719.62,28767.73,3.698039247,593812.03
"Omaha-Council Bluffs, NE-IA",Hispanic,75%,5114215.05,1337579.12,3776635.93,544722.58,9463091.25,394512.62,42.9206734,6796177.41
"Omaha-Council Bluffs, NE-IA",Black,75%,7507826.09,1944685.29,5563140.8,797123.34,13672265.57,619673.29,63.09897908,9979308.17
"Omaha-Council Bluffs, NE-IA","White, Non-Hispanic",75%,15285773.67,4482252.87,10803520.81,1630665.8,30287636.63,1008476.99,125.9782368,20253842.61
"Omaha-Council Bluffs, NE-IA",All Students,75%,26192132.05,6726900.62,19465231.43,2775219.51,47150165.18,1975876.55,220.4032565,34821259.79
"Orlando-Kissimmee, FL",American Indian or Alaska Native,75%,337955.78,88065.65,249890.13,24401.15,810313.63,39922.4,2.935422132,460849.36
"Orlando-Kissimmee, FL",Asian/Pacific Islander,75%,1321435.41,368347.61,953087.79,93939.65,3165751.76,132935.42,11.3637957,1798188.32
"Orlando-Kissimmee, FL",Hispanic,75%,27853151.84,7202540.46,20650611.38,1995014.45,65114364.44,3208602.12,242.1909873,37990341.75
"Orlando-Kissimmee, FL",Black,75%,19699162.25,4992783.34,14706378.91,1428777.02,47062384.35,2408423.92,171.7702652,26884600.16
"Orlando-Kissimmee, FL","White, Non-Hispanic",75%,33883474.13,9718911.04,24164563.1,2473543.07,88171342.21,3306985.91,290.0832645,46065051.12
"Orlando-Kissimmee, FL",All Students,75%,81243717.57,20374444.92,60869272.65,5841292.73,188556104,9225699.43,709.4483862,110912136.7
"Oxnard-Thousand Oaks-Ventura, CA",American Indian or Alaska Native,75%,477657.69,144339.39,333318.3,56387.67,1695569.26,35583.22,3.035248431,612417.82
"Oxnard-Thousand Oaks-Ventura, CA",Asian/Pacific Islander,75%,1455065.08,466840.78,988224.29,169133.64,5112935.3,97749,9.167820286,1863730.51
"Oxnard-Thousand Oaks-Ventura, CA",Hispanic,75%,24335886.34,6908397.59,17427488.75,2892449.98,84134426.5,1830110.98,155.9259685,31232016.74
"Oxnard-Thousand Oaks-Ventura, CA",Black,75%,944386.14,284450.66,659935.48,110560.61,3220994.3,73206.71,6.003717342,1210885.96
"Oxnard-Thousand Oaks-Ventura, CA","White, Non-Hispanic",75%,17938798.83,5793270.95,12145527.88,2109226.67,66601718.06,1133070.61,112.9165743,22974464.93
"Oxnard-Thousand Oaks-Ventura, CA",All Students,75%,51376752.15,14782409.37,36594342.78,6055088.79,173027447,3849662.33,328.613023,65922072.35
"Palm Bay-Melbourne-Titusville, FL",American Indian or Alaska Native,75%,84142.39,21419.67,62722.71,6104.27,212038.51,8104.32,0.634256421,107221.08
"Palm Bay-Melbourne-Titusville, FL",Asian/Pacific Islander,75%,102737.67,27955.19,74782.47,7317.86,256423.18,8636.31,0.769579268,130818
"Palm Bay-Melbourne-Titusville, FL",Hispanic,75%,1005803.22,259328.1,746475.12,70961.42,2370734.42,93598.4,7.572799457,1281496.36
"Palm Bay-Melbourne-Titusville, FL",Black,75%,2937444.14,725536.51,2211907.63,204848.73,6533901.04,290351.37,22.20194377,3744348.31
"Palm Bay-Melbourne-Titusville, FL","White, Non-Hispanic",75%,15686727.63,4424025.56,11262702.07,1103993.38,38789063.15,1232854.79,117.0863247,19965711.88
"Palm Bay-Melbourne-Titusville, FL",All Students,75%,18089448.72,4436466.24,13652982.48,1251152.95,39128080.26,1688116.98,136.8094841,23060276.32
"Pensacola-Ferry Pass-Brent, FL",American Indian or Alaska Native,75%,183969.85,44713.4,139256.45,11556.17,417312.16,25002.27,1.560702992,237458.48
"Pensacola-Ferry Pass-Brent, FL",Asian/Pacific Islander,75%,248333.35,62342.54,185990.81,15627.37,582518.43,29602.18,2.099971146,320372.89
"Pensacola-Ferry Pass-Brent, FL",Hispanic,75%,444520.33,110729.98,333790.35,27637.23,992151.89,55905.01,3.761919608,573542.89
"Pensacola-Ferry Pass-Brent, FL",Black,75%,6040396.17,1420321.09,4620075.09,377186.78,13035498.99,878077.23,51.40613368,7800532.91
"Pensacola-Ferry Pass-Brent, FL","White, Non-Hispanic",75%,10594261.78,2906760.78,7687501,657734.14,25617219.94,1224700.4,88.74678798,13647341.32
"Pensacola-Ferry Pass-Brent, FL",All Students,75%,17457163.72,4118353.39,13338810.33,1100122.49,39086553.8,2230047.38,148.5212567,22542973.55
"Peoria, IL",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Peoria, IL",Asian/Pacific Islander,75%,132046.62,39951.78,92094.84,14615.83,363846.36,10897.32,0.883828307,165504.71
"Peoria, IL",Hispanic,75%,403400.8,105810.69,297590.11,45398.85,1096141.67,40611.24,2.760322358,506539.21
"Peoria, IL",Black,75%,1765114.12,457092.07,1308022.05,200407.78,4876507.39,193942.87,12.09987347,2216740.23
"Peoria, IL","White, Non-Hispanic",75%,7821926.54,2274863.66,5547062.88,915947.54,24112182.75,686640.69,52.6947335,9809073.6
"Peoria, IL",All Students,75%,8729076.63,2228578.75,6500497.89,982681.37,23517154.57,893732.52,59.95618974,10964333.18
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",American Indian or Alaska Native,75%,1092229.12,310942.22,781286.9,127174.54,2681760.82,65976.84,7.713517691,1444163.35
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Asian/Pacific Islander,75%,7171743.2,2198718.37,4973024.83,835723.22,18200985.66,379251.92,49.97822603,9464240.93
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Hispanic,75%,31631743.99,8617685.38,23014058.62,3684878.76,76397436.38,1982267.71,225.0419093,41869304.05
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Black,75%,101440768.7,27675861.99,73764906.7,11834080.73,246078610.3,6471474.84,721.5247604,134267276.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","White, Non-Hispanic",75%,77794653.47,23884399.63,53910253.84,9027797.87,195470728.9,3990547.49,541.9877203,102658275.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",All Students,75%,198729903,53813592.58,144916310.4,23219690.52,482639253.3,12312444.73,1415.249667,263086836.4
"Phoenix-Mesa-Scottsdale, AZ",American Indian or Alaska Native,75%,6805424.64,1903327.38,4902097.26,651995.92,19061626.68,448043.05,62.62712396,9718806.16
"Phoenix-Mesa-Scottsdale, AZ",Asian/Pacific Islander,75%,3298541.01,1001217.09,2297323.92,312094.94,9525354.93,180170.68,29.93665169,4695249.32
"Phoenix-Mesa-Scottsdale, AZ",Hispanic,75%,63768810.12,17157078.95,46611731.17,6203451.06,183374590,4213766.87,590.4364949,91200554.85
"Phoenix-Mesa-Scottsdale, AZ",Black,75%,9103403.96,2540022.99,6563380.97,873850.44,25643799.27,610903.58,83.80623333,13001716.4
"Phoenix-Mesa-Scottsdale, AZ","White, Non-Hispanic",75%,70173072.58,21455086.9,48717985.69,6716272.66,213340241.8,3825201.75,636.0464299,99856254.6
"Phoenix-Mesa-Scottsdale, AZ",All Students,75%,144821276.6,39062766.32,105758510.2,13730197.85,374463412.7,9169483.08,1340.379504,207100516.7
"Pittsburgh, PA ",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Pittsburgh, PA ",Asian/Pacific Islander,75%,1312817.85,391958.64,920859.21,159091.84,3102706.06,65337.62,11.57900059,1807903.35
"Pittsburgh, PA ",Hispanic,75%,602489.75,156199.76,446289.98,72254.56,1296057.97,36789.43,5.43893124,833562.36
"Pittsburgh, PA ",Black,75%,19626567.27,4806157.25,14820410.02,2373703.19,42156404.78,1314212.5,178.6667397,27199972.53
"Pittsburgh, PA ","White, Non-Hispanic",75%,39078448.04,10735405.89,28343042.15,4868654.43,95526943.32,2139161.73,349.5895002,53967635.94
"Pittsburgh, PA ",All Students,75%,50056677.12,11879589.46,38177087.66,6090228.81,107908822.4,3266824.98,457.6782401,69434027.29
"Portland-South Portland-Biddeford, ME",American Indian or Alaska Native,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Portland-South Portland-Biddeford, ME",Asian/Pacific Islander,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Portland-South Portland-Biddeford, ME",Hispanic,75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Portland-South Portland-Biddeford, ME",Black,75%,413101.37,109793.99,303307.39,41949.57,994216.72,34984.58,3.652901235,553868.41
"Portland-South Portland-Biddeford, ME","White, Non-Hispanic",75%,10433295.37,3076385.84,7356909.53,1109260.98,29671287.85,741172.09,90.83095941,13947835.3
"Portland-South Portland-Biddeford, ME",All Students,75%,9666663.94,2500437.86,7166226.08,977556.31,22737424.6,784582.28,85.80205191,12969861.92
"Portland-Vancouver-Beaverton, OR-WA",American Indian or Alaska Native,75%,1758860.13,482880,1275980.13,166473.99,5598474.16,140056.79,15.40664246,2425712.94
"Portland-Vancouver-Beaverton, OR-WA",Asian/Pacific Islander,75%,3270875.59,941386.18,2329489.42,312155.27,10694580.1,231523.12,28.42320301,4503963.53
"Portland-Vancouver-Beaverton, OR-WA",Hispanic,75%,11587333.4,3069085.06,8518248.33,1105877.51,37543214.5,920518.84,102.087343,15998706.51
"Portland-Vancouver-Beaverton, OR-WA",Black,75%,4558516.07,1218577.09,3339938.98,436290.02,14892944.03,377277.83,40.10296011,6292161.27
"Portland-Vancouver-Beaverton, OR-WA","White, Non-Hispanic",75%,46327442.46,13855760.94,32471681.52,4450646.87,154748077.2,3055114.88,399.8328685,63707826.46
"Portland-Vancouver-Beaverton, OR-WA",All Students,75%,59603139.4,15726709.27,43876430.13,5527423.63,178838661.4,4573764.93,525.4343685,82304178.01
